"Area","Species","Trap_type","Bait","Line","Date","Month","trap_id","Season","Time_taken"
"Predator Free Swanson / Waitakere","Hedgehog","DOC 200","None","",2024-03-16,"March","4677096","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-08-13,"August","7236973","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2023-09-11,"September","4904939","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-03-27,"March","13285802","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Snap E Rat","Peanut butter","",2024-03-07,"March","23825729","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-06-08,"June","13071087","Winter",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-06-08,"June","14313870","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","Peanut butter","",2024-07-20,"July","21333835","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","Concordia Reserve",2024-03-03,"March","20891967","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-02-08,"February","7977061","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2024-09-05,"September","15428611","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Dried fruit","Concordia Reserve",2024-06-27,"June","20891967","Winter",NA
"Predator Free Swanson / Waitakere","Possum","SA Possum","Lure","WT_Road to Bantam Clearing",2024-04-26,"April","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2023-03-24,"March","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","Concordia Reserve",2024-06-05,"June","20891965","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Smooth","WT_Road to Bantam Clearing",2022-03-24,"March","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Central-Access",2024-08-27,"August","18786199","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","",2024-03-10,"March","15195684","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-08-13,"August","4904939","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","None","",2025-04-30,"April","28658227","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Central-Bluff",2024-05-02,"May","13285802","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","DOC 200","None","WT_Boundary Walk",2024-06-16,"June","5012340","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","",2024-02-19,"February","4647393","Summer",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","Concordia Reserve",2024-05-14,"May","20891967","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-04-26,"April","5993595","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-08-22,"August","5927814","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","",2024-02-16,"February","20139570","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","WT_Boundary Walk",2021-09-17,"September","4676078","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-06-22,"June","6981532","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Smooth","WT_Road to Bantam Clearing",2022-04-11,"April","7288901","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","",2024-06-02,"June","25336106","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Rat and Possum Lure","DG-Crisp-Central-Bluff",2024-07-21,"July","25209152","Winter",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","Lure","WT_Road to Bantam Clearing",2024-05-18,"May","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Dried fruit","Concordia Reserve",2024-03-18,"March","4364621","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","None","",2024-06-07,"June","4870447","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","None","WT_Road to Bantam Clearing",2024-05-05,"May","19262123","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Carrot","WT_Road to Bantam Clearing",2023-03-22,"March","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Blood","WT_Boundary Walk",2022-04-06,"April","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Timms","None","WT_Road to Bantam Clearing",2022-05-11,"May","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-06-05,"June","5994707","Winter",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","None","WT_Road to Bantam Clearing",2024-03-28,"March","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2022-03-01,"March","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","None","WT_Road to Bantam Clearing",2024-04-02,"April","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Rat trap","None","",2024-05-26,"May","24713422","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Blood","WT_Boundary Walk",2022-02-06,"February","5917704","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","",2024-06-07,"June","25336106","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","WT_Boundary Walk",2023-09-01,"September","5917704","Spring",NA
"Predator Free Swanson / Waitakere","Rat","DOC 200","Lure","WT_Boundary Walk",2023-01-09,"January","5012340","Summer",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","Peanut butter","",2024-07-13,"July","16947056","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Boundary Walk",2024-01-31,"January","6981532","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","WT_Road to Bantam Clearing",2024-03-09,"March","7288901","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-02-21,"February","6944521","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-10-26,"October","13071087","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Rat and Possum Lure","DG-Crisp-Central-Bluff",2023-12-19,"December","13330548","Summer",NA
"Predator Free Swanson / Waitakere","Hedgehog","Victor","None","",2024-03-16,"March","4291344","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","None","",2024-04-25,"April","4291344","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Blood","WT_Boundary Walk",2021-10-16,"October","4676078","Spring",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","None","WT_HOME",2024-04-24,"April","3523399","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","",2024-07-28,"July","25336233","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-05-02,"May","7288901","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2022-03-07,"March","6981532","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","WT_Road to Bantam Clearing",2023-01-26,"January","6944521","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-03-07,"March","13071087","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","D-Rat","Peanut butter","",2024-04-30,"April","21897096","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","Concordia Reserve",2023-11-07,"November","20891966","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Fresh fruit","Concordia Reserve",2024-03-07,"March","20891965","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2022-11-19,"November","13071087","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Fresh fruit","Concordia Reserve",2024-03-06,"March","4364621","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","KBL Tunnel Trap","None","",2024-06-29,"June","14313870","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Timms","Dried fruit","Concordia Reserve",2024-10-08,"October","21980597","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2023-04-04,"April","7288901","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","None","WT_Road to Bantam Clearing",2024-06-01,"June","23466762","Winter",NA
"Predator Free Swanson / Waitakere","Hedgehog","DOC 200","Fresh meat","",2024-03-19,"March","13042163","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-11-13,"November","13071087","Spring",NA
"Predator Free Swanson / Waitakere","Rat","SA Possum","None","WT_Road to Bantam Clearing",2024-06-12,"June","23466762","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Peanut butter","",2024-06-04,"June","4796386","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-07-30,"July","6944521","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Rat trap","None","",2024-05-14,"May","19796666","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2023-06-21,"June","7288901","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","Concordia Reserve",2024-10-11,"October","20891967","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2023-03-28,"March","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2024-01-31,"January","4676078","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","Swanson Cemetery",2024-11-08,"November","27283053","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Trapinator","Dried fruit","Jake home",2024-07-11,"July","16648703","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","",2024-06-10,"June","4489097","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-11-08,"November","13071087","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-07-22,"July","6981532","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2024-01-29,"January","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Goodnature Nut Butter","WT_Road to Bantam Clearing",2024-03-19,"March","21320360","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-10-19,"October","6981532","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Victor","Peanut butter","DG-Central-Access",2024-04-26,"April","18786199","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","WT_Boundary Walk",2021-10-04,"October","4676078","Spring",NA
"Predator Free Swanson / Waitakere","Hedgehog","Timms","Dried fruit","WT_Road to Bantam Clearing",2022-12-16,"December","6944521","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","301",2024-12-12,"December","21982044","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","DG-Crisp-Upper-Kauri",2024-05-24,"May","7467899","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-03-28,"March","13071087","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","None","WT_Road to Bantam Clearing",2024-04-27,"April","21320360","Autumn",NA
"Predator Free Swanson / Waitakere","Hedgehog","Victor","None","WT_Boundary Walk",2022-03-07,"March","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Fresh fruit,Peanut butter","Swanson Cemetery",2024-11-03,"November","27283071","Spring",NA
"Predator Free Swanson / Waitakere","Rat - Norway","DOC 200","Peanut butter","",2024-05-21,"May","18928348","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Rat and Mouse Lure","WT_Boundary Walk",2022-08-24,"August","5917704","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","WT_Road to Bantam Clearing",2022-12-30,"December","7288901","Summer",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2023-04-20,"April","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-11-04,"November","7288901","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2022-05-03,"May","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2024-06-12,"June","13071087","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2022-07-30,"July","13071087","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Ship","DOC 200","Peanut butter","",2024-06-04,"June","13042163","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2024-01-26,"January","5917704","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Carrot","WT_Road to Bantam Clearing",2023-03-07,"March","7288901","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","Peanut butter","",2024-02-14,"February","6976146","Summer",NA
"Predator Free Swanson / Waitakere","Rabbit","Unspecified","Carrot,None","",2023-08-19,"August","13497596","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2022-07-02,"July","13071087","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","301",2024-05-15,"May","21982218","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2023-02-16,"February","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Rabbit","Unspecified","Fresh fruit","",2025-02-18,"February","13497596","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Timms","None","WT_Road to Bantam Clearing",2022-06-27,"June","6944521","Winter",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Fresh fruit","WT_Road to Bantam Clearing",2023-10-24,"October","19262123","Spring",NA
"Predator Free Swanson / Waitakere","Rat","D-Rat","None","",2025-03-12,"March","19607883","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Road to Bantam Clearing",2024-06-20,"June","5747190","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Blood","WT_Boundary Walk",2022-04-08,"April","4676078","Autumn",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Fresh fruit","",2023-10-22,"October","19607911","Spring",NA
"Predator Free Swanson / Waitakere","Possum","SA Possum","Lure","WT_Road to Bantam Clearing",2024-03-22,"March","23466762","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Rat trap","None","",2023-12-07,"December","17366926","Summer",NA
"Predator Free Swanson / Waitakere","Hedgehog","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2023-12-21,"December","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","Peanut butter","",2023-11-10,"November","19607979","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Rat trap","None","",2023-09-13,"September","4329851","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Flipping Timmy","None","",2024-10-21,"October","22569501","Spring",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2022-08-14,"August","6981532","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Peanut butter","WT_Boundary Walk",2021-08-29,"August","4676078","Winter",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-08-05,"August","4676078","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Road to Bantam Clearing",2022-12-08,"December","13071087","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Rat trap","Peanut butter","",2024-08-04,"August","4796386","Winter",NA
"Predator Free Swanson / Waitakere","Rat - Norway","Victor","Peanut butter","",2024-12-03,"December","16947056","Summer",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","",2024-06-04,"June","25336233","Winter",NA
"Predator Free Swanson / Waitakere","Rat","Victor","None","WT_Boundary Walk",2021-11-02,"November","4676078","Spring",NA
"Predator Free Swanson / Waitakere","Possum","Timms","Dried fruit","WT_Road to Bantam Clearing",2024-05-18,"May","6944521","Autumn",NA
"Predator Free Swanson / Waitakere","Mouse","Victor","Peanut butter","301",2025-04-12,"April","21982218","Autumn",NA
"Predator Free Swanson / Waitakere","Rat","Victor","Goodnature Nut Butter","WT_Boundary Walk",2022-05-17,"May","6981532","Autumn",NA
"Predator Free Swanson / Waitakere","Rat - Ship","Timms","Dried fruit","Concordia Reserve",2024-04-08,"April","21980565","Autumn",NA
